# ----------------------------------------,,,,,,
# Firebase overview,,,,,,
# ----------------------------------------,,,,,,
# How are active users trending?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,30 days,7 days,1 day,,,
32,0.01427115189,,,,,
33,0.01251042535,,,,,
34,0.01153618308,,,,,
35,0.0121435781,,,,,
36,0.01114511193,,,,,
37,0.01076047254,,,,,
38,0.01080771691,,,,,
39,0.0108751942,,,,,
40,0.0102380615,,,,,
41,0.01027572588,,,,,
,,,,,,
# How well do you retain your users?,,,,,,
# Start date: 20250817,,,,,,
# End date: 20250927,,,,,,
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
17 Aug - 23 Aug,6367,1727,938,648,515,385
24 Aug - 30 Aug,4821,1212,705,492,387,-1
31 Aug - 6 Sept,1599,400,205,158,-1,-1
7 Sept - 13 Sept,1300,373,173,-1,-1,-1
14 Sept - 20 Sept,1121,254,-1,-1,-1,-1
21 Sept - 27 Sept,1058,-1,-1,-1,-1,-1
,,,,,,
# Where does your average 120d value come from?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
First user primary channel group (Default channel group),Average 120d value,,,,,
Direct,0.002958831893,,,,,
Organic Search,0.001188393642,,,,,
Cross-network,0.0002179631194,,,,,
Paid Search,0.00002173154362,,,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Page title and screen class,Views,,,,,
MessagingUnityPlayerActivity,111591,,,,,
AdActivity,2154,,,,,
UnityDefaultViewController,1846,,,,,
GADFullScreenAdViewController,1462,,,,,
LicenseActivity,553,,,,,
ProxyBillingActivity,443,,,,,
HiddenActivity,235,,,,,
FacebookActivity,202,,,,,
FBUnityLoginActivity,190,,,,,
CustomTabMainActivity,105,,,,,
GKHostedAuthenticateViewController,82,,,,,
UIActivityViewController,29,,,,,
UIActivityContentViewController,20,,,,,
AppLovinFullscreenActivity,10,,,,,
SLComposeViewController,10,,,,,
SignInHubActivity,9,,,,,
CustomTabActivity,7,,,,,
NotificationHandlerActivity,4,,,,,
ProxyBillingActivityV2,4,,,,,
GKDashboardHostViewController,2,,,,,
SFAirDropViewController,2,,,,,
SFAuthenticationViewController,2,,,,,
UnityPlayerActivity,1,,,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Event name,Event count,,,,,
progress,291975,,,,,
user_engagement,182233,,,,,
Homepage_Task,180786,,,,,
Gameplay_BoosterOptions_Play,125720,,,,,
coins_spent,122024,,,,,
